Stem;Kök, Gövde
Dyslexic;Disleksi, Disleksik
Reputation;Ün, İtibar, Şöhret
Digest;Sindirim, Sindirmek
Mend;Tamir
Harsh;Ağır, Sert
Marsh;Bataklık
Creed;İnanç, Mezhep
Greed;Açgözlülük
Cruel;Acımasız
Freak;Çatlak
Forte;Kale, Güçlü Yön
Fleet;Donanma
Pout;Surat Asmak
Dodgy;Tehlikeli, Şüpheli, Riskli
Cage;Kafes
Bound;Ciltli, Bağlı, Zorunlu
Curl;Kıvrılmak
Worship;Tapmak
Treat;Tedavi Etmek, İşlem, İşleyiş
Ferne;Eğrelti Otu
Nerve;Sinir
Boar;Domuz
Crept;Süründü
Smote;Etkilemek, Tutulmak
Probe;İncelemek, Bulmak
Yarn;İplik
Croak;Vıraklamak
Heave, Lift;Kaldırmak
Limb;Uzuv
Testament, Will;Vasiyet
Defiant;Meydan Okuyan
Defy;Meydan Okumak
Labour;Emek
Emmet, Ant;Karınca
Sacrifice;Kurban Etmek
Fleet;Filo, Donanma
Sheer;Saf, Arı
Breez;Esinti
Breeze;Meltem
Ripple;Dalgalanma
Struggle;Mücadele Etmek
Hange;Asmak
Reunion;Kavuşmak
Surrection;Sermaye
Resurrection;Kıyamet, Yeniden Dirilmek
Cluster;Küme
Vanish;Yok Olmak
Divine;İlahi
Wig;Peruk
Vagabond;Serseri
Do You Mind;Sakıncası Var Mı
Gambler;Kumarbaz
Apostle;Havari
Caterpillar;Tırtıl
Courage;Cesaret
Invest;Yatırmak
Intent;Niyet Amaç
Secretive;Ketum
Conjure;Çağrı
Audit;Denetim
Pendulum;Sarkaç
Stare;Bakmak
Glance;Bakış Atmak
Embellish;Renk Katmak, Güzelleştirmek
Braces;Diş Teli
Clutch;El Çantası
Sublime;Yüce
Slack;Geniş, Gevşek, Bol
Slacks;Bol Pantolon
Shook;Salladı
Dogma;Dogma
Nonetheless;Her Şeye Rağmen
Iron Out;Gidermek
Significance;Önem
Assumption;Varsayım
Assume;Farz Etmek, Var saymak
Egocentric;Benmerkezci
Eager;İstekli
Redundant, Unnecessary;Gereksiz
Representative;Temsilci
Ample;Bol
Peer;Akran, Yaşıt
Equate;Kıyaslanmak
Crucial;Hayati
Syllabus;Müfredat
Lexical;Sözcüksel
Desire;Arzulamak
Clue;İpucu
Exposure;Maruz Kalma
Plenty;Bolca
Suggestopedia, Suggest;Öneri
Tendency;Eğilim
Approach;Yaklaşım, Yaklaşmak
Deficiency;Eksiklik
Noble;Soylu
Emerge;Ortaya Çıkmak
Conduct;Yürütmek
Manner;Tavır
Pertain;İlgili Olmak
Stipulate;Öngörmek
Compulsory;Zorunlu
Compulse, Drug;Uyuşturucu
Appendix;Dosya Eki
Apparent;Görünen
Apparently;Görünüşe Göre
Despite;Aksine
Concluded;Sonuçlandırılmış
Assessment;Değerlendirme
Convince;İkna Etmek
Bargain;Pazarlık, Pazarlık Etmek
Inevitably;Kaçınılmaz Olarak
Concrete;Somut
Acquisition, Win;Kazanmak
Attentively;Dikkatle
Rely, Trust;Güvenmek
Settle;Yerleşmek
Deputies;Milletvekilleri
Cope;Başa Çıkmak
Hole Punching;Delilik
Faciliate;Kolaylaştırmak
Withdrawal;Para Çekmek
Interchangeably;Birbirinin Yerine 
Subsequent;Sonraki
Submersion;Daldırma
Receptively;Çabukça Kavrayarak, Çabucak Kavrayarak
Practitioner;Uygulayıcı
Scaffold;İskele
Intonation;Tonlama
Rehersal;Prova, Tekrarlamak
Will;İrade, Vasiyet
Tag;Künye
Proper;Düzgün
Regard;Saygınlık, Saygı
Superstition;Batıl Inanç
Low Key;Şatafatsız
Stimuly;Uyarıcı
Stalactite;Sarkıt
Stalagmite;Dikit
Restraint;Kısıtlama
Stove;Soba
Contemplate;Düşünmek
Gaze;Bakış
Stipend, Salary;Maaş
Gibraltar;Cebelitarık
Courtesy;Nezaket
Attractive;Cazip
Entrepreneur;Girişimci
Consequence;Sonuç
Chairman;Başkan
Imperative;Zorunlu
Export;İhraç
Import;İthal
Occasionally;Arada, Ara sıra
Rural;Kırsal
Dormitory;Yurt, Yatakhane, Koğuş
Suffer;Acı Çekmek
Assignment;Tez, Ödev
Attend;Katılmak
Specie;Madeni Para
Magnificent, Wonderful, Gorgeous, Glorious;Muhteşem
Exhibition;Sergilemek
Enthusiasm;Heves
Extinction;Tükenmek
Establish;Kurmak
Precaution;Tedbir
Branch;Şube, Dal, Kol
Occurrences;Olay
Quest;Arayış
Feat;Başarı, Üstün Başarı
Predicament;Çıkmaz Durum, Çıkmaz
Spare;Yedek, Kıyamamak
Sporadic;Tek Tük
Sparse;Seyrek
Discrete;Ayrık, Harici
Entity;Varlık
Burgeon;Tomurcuk, Tomurcuklanmak, Filizlenmek
Complicate;Zorluk
Setback;Gerileme, Aksilik
Intricacy;Karmaşıklık, Karmakarışık
Rect;Doğru
Rectify;Doğrultmak, Düzeltmek
Foster;Teşvik, Teşvik Etmek
Overlap;Kaplamak, Üst Üste Gelmek, Çakışmak
Awkwardly;Sakarca, Beceriksizce
Imprecise;Kesin Olmayan
Deliberately;Kasten, Kasıtlı Olarak, Tasarlayarak
Legume;Baklagil
Spice;Baharat
Rules Out;Kural Dışı
Set Apart;Ayırmak
Obvious;Bariz, Apaçık
Hypen;Tire
Woven;Dokuma
